Estado,Sector,Fecha,Cartera,Vigente,Vencida,Imor
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2016-06,1335.44,1291.62,43.82,321.51
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2016-07,1282.34,1237.8,44.56,328.33
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2016-08,1273.43,1228.58,44.87,321.56
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2016-09,1282.95,1239.24,43.71,319.94
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2016-10,1298.19,1254.09,44.11,317.3
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2016-11,1291.23,1249.64,41.61,296.42
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2016-12,1349.5,1307.55,41.95,178.5
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-01,1306.85,1300.36,6.49,114.25
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-02,1196.4,1189.9,6.49,119.78
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-03,1198.25,1189.89,8.35,118.65
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-04,1186.72,1178.26,8.46,160.18
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-05,1143.79,1134.66,9.12,261.84
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-06,1142.48,1133.49,8.99,261.11
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-07,1116.82,1107.45,9.37,266.8
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-08,1076.68,1067.3,9.36,269.64
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-09,1074.73,1065.28,9.46,271.51
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-10,906.16,896.76,9.39,272.46
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-11,877.77,867.78,10,251.6
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2017-12,1067.08,1057.55,9.54,252.61
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-01,1032.49,1024.52,7.96,251.79
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-02,1064.43,1056.47,7.95,221.59
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-03,1070.97,1063.31,7.64,221.49
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-04,1059.66,1052.12,7.52,118.55
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-05,1058.42,1050.92,7.5,129.54
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-06,1071.31,1063.81,7.5,129.58
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-07,1058.77,1052.81,5.95,121.16
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-08,1038.41,1032.45,5.95,121.26
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-09,1049.78,1046.24,3.54,120.33
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-10,1031.54,1028,3.54,121.2
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-11,1091.63,1086.11,5.5,130.85
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2018-12,1109.44,1103.32,6.12,49.23
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2019-01,1098.45,1092.33,6.12,57.76
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2019-02,1117.12,1112.94,4.17,50.9
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2019-03,1125.35,1124.43,0.92,31.53
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2019-04,1138.6,1138.2,0.4,29.6
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2019-05,1122.68,1122.28,0.4,29.35
AGUASCALIENTES,"Agricultura, Silvicultura, Ganaderia y Pesca",2019-06,1144.37,1143.96,0.4,43.46
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2016-06,1163.12,1162.86,0.26,45.09
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2016-07,1277.62,1277.36,0.25,45.9
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2016-08,1295.93,1295.69,0.25,48.04
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2016-09,1330.76,1330.5,0.25,41.23
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2016-10,1293.29,1292.81,0.48,35.31
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2016-11,1327.93,1327.14,0.79,41.44
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2016-12,1397.71,1396.02,1.69,205.61
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2017-01,1369.37,1367.11,2.26,206.18
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2017-02,1383.67,1381.43,2.22,105.55
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2017-03,1364.05,1362.75,1.28,103.62
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2017-04,1404.98,1403.41,1.58,103.75
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2017-05,1310.26,1309.21,1.05,103.27
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2017-06,1368.46,1367.28,1.18,104.84
AGUASCALIENTES,"Alimentos, Bebidas y Tabaco",2017-07,1355.11,1353.93,1.18,104.77
